"germplasmDbId","germplasmName","commonCropName"
"6000000702","PI154987","sorghum"
"6000000231","PI564163","sorghum"
"6000000805","PI329646","sorghum"
"6000000927","PI569443","sorghum"
"6000000856","PI521280","sorghum"
"6000001020","PI653617","sorghum"
"6000001056","PI563355","sorghum"
"6000000686","PI152816","sorghum"
"6000000625","PI337689","sorghum"
"6000000734","PI196586","sorghum"
"6000000740","PI218112","sorghum"
"6000000792","PI329546","sorghum"
"6000000965","PI570388","sorghum"
"6000000820","PI330184","sorghum"
"6000000689","PI152862","sorghum"
"6000000717","PI156871","sorghum"
"6000000850","PI510757","sorghum"
"6000000951","PI570076","sorghum"
"6000000967","PI570400","sorghum"
"6000000468","PI152651","sorghum"
"6000000995","PI641815","sorghum"
"6000000981","PI585954","sorghum"
"6000000748","PI255239","sorghum"
"6000000984","PI586435","sorghum"
"6000000822","PI330195","sorghum"
"6000000987","PI593916","sorghum"
"6000000936","PI569458","sorghum"
"6000000732","PI196049","sorghum"
"6000000565","PI329394","sorghum"
"6000000994","PI641810","sorghum"
"6000000467","PI152591","sorghum"
"6000000840","PI455301","sorghum"
"6000000707","PI155885","sorghum"
"6000000983","PI585966","sorghum"
"6000000790","PI329541","sorghum"
"6000000877","PI562732","sorghum"
"6000000213","PI535785","sorghum"
"6000001008","PI642998","sorghum"
"6000000746","PI251672","sorghum"
"6000000724","PI170787","sorghum"
"6000000977","PI585461","sorghum"
"6000000924","PI569427","sorghum"
"6000000812","PI329841","sorghum"
"6000000472","PI152730","sorghum"
"6000000560","PI329319","sorghum"
"6000000993","PI641807","sorghum"
"6000000871","PI535796","sorghum"
"6000000859","PI525049","sorghum"
"6000000818","PI330181","sorghum"
"6000000703","PI154988","sorghum"
"6000000553","PI303658","sorghum"
"6000001021","PI655972","sorghum"
"6000000564","PI329351","sorghum"
"6000000793","PI329550","sorghum"
"6000000710","PI156217","sorghum"
"6000000836","PI453696","sorghum"
"6000000721","PI157035","sorghum"
"6000000810","PI329710","sorghum"
"6000000225","PI154844","sorghum"
"6000000968","PI570431","sorghum"
"6000000870","PI535795","sorghum"
"6000000958","PI570109","sorghum"
"6000000685","PI152771","sorghum"
"6000001025","PI656015","sorghum"
"6000000813","PI329843","sorghum"
"6000000722","PI157804","sorghum"
"6000000687","PI152828","sorghum"
"6000000860","PI52606","sorghum"
"6000000865","PI533998","sorghum"
"6000000727","PI179749","sorghum"
"6000000861","PI526905","sorghum"
"6000000742","PI221651","sorghum"
"6000000227","PI506114","sorghum"
"6000000819","PI330182","sorghum"
"6000000579","PI329517","sorghum"
"6000000737","PI19770","sorghum"
"6000000223","PI506122","sorghum"
"6000000230","PI267573","sorghum"
"6000000796","PI329584","sorghum"
"6000000932","PI569453","sorghum"
"6000000460","PI144134","sorghum"
"6000000754","PI273465","sorghum"
"6000000922","PI569423","sorghum"
"6000000956","PI570096","sorghum"
"6000000883","PI562982","sorghum"
"6000000826","PI330803","sorghum"
"6000000807","PI329673","sorghum"
"6000001011","PI646242","sorghum"
"6000000214","PI583832","sorghum"
"6000000891","PI563006","sorghum"
"6000000809","PI329702","sorghum"
"6000000229","PI506069","sorghum"
"6000000990","PI620072","sorghum"
"6000000566","PI329403","sorghum"
"6000000752","PI266927","sorghum"
"6000000461","PI145619","sorghum"
"6000000739","PI217691","sorghum"
"6000001013","PI646266","sorghum"
"6000001005","PI641862","sorghum"
"6000000821","PI330185","sorghum"
"6000000465","PI146890","sorghum"
"6000000928","PI569444","sorghum"
"6000000825","PI330796","sorghum"
"6000000954","PI570090","sorghum"
"6000000224","PI297130","sorghum"
"6000000789","PI329519","sorghum"
"6000000919","PI569420","sorghum"
"6000000725","PI175919","sorghum"
"6000000971","PI576401","sorghum"
"6000000555","PI329286","sorghum"
"6000000839","PI455280","sorghum"
"6000000751","PI257600","sorghum"
"6000000918","PI569419","sorghum"
"6000000719","PI157030","sorghum"
"6000001007","PI641909","sorghum"
"6000001029","PI92270","sorghum"
"6000000970","PI576399","sorghum"
"6000000811","PI329711","sorghum"
"6000001027","PI656035","sorghum"
"6000001004","PI641860","sorghum"
"6000000830","PI337680","sorghum"
"6000000878","PI562781","sorghum"
"6000000962","PI570254","sorghum"
"6000000950","PI570075","sorghum"
"6000000700","PI154846","sorghum"
"6000000973","PI585406","sorghum"
"6000000788","PI329518","sorghum"
"6000000210","PI653616","sorghum"
"6000000554","PI329256","sorghum"
"6000001063","PI535792","sorghum"
"6000000803","PI329644","sorghum"
"6000001018","PI651497","sorghum"
"6000000828","PI330833","sorghum"
"6000000869","PI535794","sorghum"
"6000000829","PI330858","sorghum"
"6000000988","PI619807","sorghum"
"6000000695","PI152967","sorghum"
"6000000855","PI521152","sorghum"
"6000000913","PI569148","sorghum"
"6000000934","PI569455","sorghum"
"6000000888","PI562997","sorghum"
"6000000235","PI35038","sorghum"
