*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.0.027 -develop  JUN 30, 2022 07:20:22
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TERRAR01.SGX         1 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   2 TERRAR01.SGX         2 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   3 TERRAR01.SGX         3 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   4 TERRAR01.SGX         4 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   5 TERRAR01.SGX         5 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   6 TERRAR01.SGX         6 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   7 TERRAR01.SGX         7 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   8 TERRAR01.SGX         8 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
   9 TERRAR01.SGX         9 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  10 TERRAR01.SGX        10 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
