day,early_drought,late_drought
2017-04-18,4.5,4.5
2017-04-19,2.6,2.6
2017-04-20,0.4,0.4
2017-04-21,27.9,27.9
2017-04-22,14.0,14.0
2017-04-23,0.0,0.0
2017-04-24,14.0,14.0
2017-04-25,0.0,0.0
2017-04-26,14.0,14.0
2017-04-27,0.0,0.0
2017-04-28,14.0,14.0
2017-04-29,0.0,0.0
2017-04-30,14.0,14.0
2017-05-01,0.0,0.0
2017-05-02,2.7,2.7
2017-05-03,2.7,2.7
2017-05-04,14.0,14.0
2017-05-05,2.6,2.6
2017-05-06,0.0,0.0
2017-05-07,0.0,0.0
2017-05-08,0.0,0.0
2017-05-09,0.0,0.0
2017-05-10,2.5,2.5
2017-05-11,3.3,3.3
2017-05-12,2.7,2.7
2017-05-13,0.0,0.0
2017-05-14,0.0,0.0
2017-05-15,2.7,2.7
2017-05-16,2.6,2.6
2017-05-17,0.0,0.0
2017-05-18,0.0,0.0
2017-05-19,24.3,24.3
2017-05-20,24.6,24.6
2017-05-21,24.5,24.5
2017-05-22,24.2,24.2
2017-05-23,3.2,3.2
2017-05-24,3.3,3.3
2017-05-25,3.2,3.2
2017-05-26,6.6,6.6
2017-05-27,7.7,7.7
2017-05-28,7.4,7.4
2017-05-29,7.4,7.4
2017-05-30,8.0,8.0
2017-05-31,8.3,8.3
2017-06-01,8.2,8.2
2017-06-02,8.7,8.7
2017-06-03,8.6,8.6
2017-06-04,8.6,8.6
2017-06-05,10.1,10.1
2017-06-06,10.4,10.4
2017-06-07,10.4,10.4
2017-06-08,10.6,10.6
2017-06-09,10.3,10.3
2017-06-10,10.2,10.2
2017-06-11,10.2,10.2
2017-06-12,10.4,10.4
2017-06-13,14.0,14.0
2017-06-14,14.8,14.8
2017-06-15,14.6,14.6
2017-06-16,13.7,13.7
2017-06-17,13.6,13.6
2017-06-18,13.7,13.7
2017-06-19,13.9,13.9
2017-06-20,6.4,6.4
2017-06-21,14.4,14.4
2017-06-22,14.4,14.4
2017-06-23,14.7,14.7
2017-06-24,15.5,15.5
2017-06-25,15.0,15.0
2017-06-26,14.5,14.5
2017-06-27,12.9,12.9
2017-06-28,13.3,13.3
2017-06-29,13.7,13.7
2017-06-30,14.0,14.0
2017-07-01,19.2,19.2
2017-07-02,19.2,19.2
2017-07-03,19.2,19.2
2017-07-04,19.1,19.1
2017-07-05,18.5,18.5
2017-07-06,18.1,18.1
2017-07-07,14.0,14.0
2017-07-08,13.0,13.0
2017-07-09,11.1,11.1
2017-07-10,9.7,9.7
2017-07-11,9.1,9.1
2017-07-12,11.2,11.2
2017-07-13,12.9,12.9
2017-07-14,17.2,17.2
2017-07-15,15.6,15.6
2017-07-16,15.9,15.9
2017-07-17,14.5,14.5
2017-07-18,13.0,13.0
2017-07-19,13.1,13.1
2017-07-20,9.5,9.5
2017-07-21,6.5,6.5
2017-07-22,6.4,6.4
2017-07-23,6.1,6.1
2017-07-24,3.0,3.0
2017-07-25,0.0,0.0
2017-07-26,12.1,12.1
2017-07-27,0.0,0.0
2017-07-28,0.7,0.7
2017-07-29,11.4,11.4
2017-07-30,3.1,3.1
2017-07-31,0.0,0.0
2017-08-01,0.0,9.2
2017-08-02,0.0,5.3
2017-08-03,0.0,5.2
2017-08-04,0.0,10.2
2017-08-05,0.0,10.0
2017-08-06,0.0,10.0
2017-08-07,0.0,9.7
2017-08-08,0.0,9.5
2017-08-09,0.0,9.9
2017-08-10,0.0,10.1
2017-08-11,0.0,10.1
2017-08-12,0.0,10.6
2017-08-13,0.0,10.6
2017-08-14,0.0,10.9
2017-08-15,8.0,0.0
2017-08-16,8.0,0.0
2017-08-17,8.2,0.0
2017-08-18,8.2,0.0
2017-08-19,8.5,0.0
2017-08-20,8.6,0.0
2017-08-21,8.3,0.0
2017-08-22,8.1,0.0
2017-08-23,8.1,0.0
2017-08-24,8.1,0.0
2017-08-25,8.1,0.0
2017-08-26,8.3,0.0
2017-08-27,8.3,0.0
2017-08-28,8.1,0.0
2017-08-29,7.9,0.0
2017-08-30,0.0,0.0
2017-08-31,0.0,0.0
